title,company,salary,location,summary
newData Analyst,Ridge & Partners LLP,,Manchester,"
Developing inhouse best practice data management.
Managing energy data to inform sustainability strategies.
This role would particularly suit an individual with…
"
newData Analyst,Move Dance,"£27,000 - £35,000 a year",Manchester•Remote,"
Organising and analysing raw data to drive actionable insights.
Highly analytical with the ability to turn data into actionable results.
"
newProduct Data Analyst,DARE2b,,Urmston M41 7RR,"
A strong experience using a variety of data analysis methods, data tools, ideally within a clothing Company.
Accurate data formatted and presented at the right…
"
newData Analyst,Barclays,,Knutsford WA16 9EU,"
Identifying the relevant data points for the issue at hand; understand and extract the required portions quickly through optimised querying of our data storage…
"
Business Analyst,RSA,"£55,000 - £60,000 a year",Manchester•Remote,"
Collating and reconciling data and information from various sources to ensure completeness and accuracy.
The purpose of this role is to carry out a range of…
"
newGraduate Researcher/ Data Analyst,ATC Recruitment,"£18,296 - £35,586 a year",Manchester M2 3AW•Temporarily Remote,"
To compare and evaluate new cases identified against existing internal data.
Our client is ideally seeking a *graduate* calibre candidate who enjoys…
"
Senior Data Analyst,Barclays,,Manchester M1 3BN,"
Using data to understand customer journeys within Digital First Operations.
Sharing accurate data to support business stakeholders and meet regulatory…
"
Data Analytics Degree Apprentice Scheme - Level 6,BBC,"£15,074 a year",Salford,"
And data mining, forecasting and modelling techniques to identify and predict trends and patterns in data.
Support confident and timely decisions, by learning…
"
newAnalyst,The Growth Company,"£24,500 a year",Manchester,"
Experience in using large datasets, manipulating data, data analysis and/or visualising data.
Experience in using large datasets, manipulating data, data…
"
Transformation Analyst,Barclays,,Manchester M1 3BN,"
Driving the documentation of business requirements, process flows, current vs future gap analysis, training documentation and data analysis.
"
Data Analyst,On the Beach,,Manchester+1 location•Temporarily Remote,"
Strong technical skills regarding data analysis and statistics.
Understanding data and providing ad hoc analysis from our primary web analytics tool, Google…
"
Reconciliation and Reporting Analyst,Barclays,,Manchester M1 3BN,"
Experience of data reporting design and specification, MI and reconciliation.
Liaising with stakeholders to drive the documentation of business requirements,…
"
newInsight Analyst,Distrelec,"£30,000 - £40,000 a year",Manchester M2 3AA,"
Being a subject matter expert in customer data – championing ways in which it can and should be used across the business to support data driven decisions &…
"
newBusiness Intelligence Analyst,Kier Group,"£23,000 - £27,000 a year",Manchester,"
Experience of using Power BI or other data visualisation tool.
Work with colleagues to understand data requirements and feed into the pipeline of development…
"
newCompliance and Risk Analyst,DWF,,Manchester M3 3AA,"
Your role will be varied and include investigation for, and analysis and writing of commentary to create reporting for management review.
"
newInsight Analyst,Distrelec,"£30,000 - £40,000 a year",Manchester M2 3AA,"
Being a subject matter expert in customer data – championing ways in which it can and should be used across the business to support data driven decisions &…
"
newBusiness Intelligence Analyst,Kier Group,"£23,000 - £27,000 a year",Manchester,"
Experience of using Power BI or other data visualisation tool.
Work with colleagues to understand data requirements and feed into the pipeline of development…
"
newCompliance and Risk Analyst,DWF,,Manchester M3 3AA,"
Your role will be varied and include investigation for, and analysis and writing of commentary to create reporting for management review.
"
newPricing Analyst - Manchester,DSV,,Manchester,"
Dealing with and maintaining data quality.
Reporting to the Manager of the Department you will be quoting our UK clients as well as our overseas offices and…
"
newCompetitor Analyst,Peak AI,,Manchester M1,"
Ideally, hands-on experience of using data, analytics or data science technologies.
A proven track record of working in an analyst role, producing insights that…
"
Text Analyst / Data Scientist,Health & Safety Executive,"£39,334 - £45,865 a year",Buxton•Remote,"
Previous experience as a text analyst, data scientist, or other similar role.
Have worked in a data science field for a minimum of two years.
"
newBusiness Analyst,Home Office,"£30,817 - £38,558 a year",Manchester,"
HO - Digital Data and Technology.
Flexible working, Full-time, Compressed Hours.
As Business Analyst you will lead and coordinate the gathering of technical and…
"
Pricing Data Analyst,Coop,"£30,000 - £36,000 a year",Manchester M60 0AG,"
Experience of data analysis, data modelling and data reporting.
Strong Excel and data analysis skills.
Provide accurate data analysis to senior managers and the…
"
newData Analyst,Kalibrate,"£41,000 a year",Manchester,"
Statistical Analysis Skills such as Analyse/interpret data and present results using established methods, evaluating coverage and accuracy of data, prepare…
"
newPricing Analyst,Distrelec,"£27,000 - £37,000 a year",Manchester M2 3AA,"
1-3 years data analysis experience.
Maintaining “commercial” product data in SAP – via Category management teams.
Ad hoc customer and product related analysis.
"
newData Researcher / Analyst – Software Product Development,InXpress Global,"£30,000 - £35,000 a year",Manchester•Remote,"
Collect and analyse quantitative data.
Develop initiatives, collect and analyse qualitative data.
Researching, analysing and presenting data and conclusions…
"
Data Analyst Apprentice,APPRENTIFY,"£16,000 a year",Macclesfield SK10,"
Apprenticeship standard Data analyst (Level 4).
Identify data sources to meet the organisation's requirement, using evidence-based decision making to establish…
"
newGraduate Data Analyst,Euro Garages,"£24,000 a year",Blackburn BB1 2FA,"
Maximising business potential by converting large amounts of data into valuable insight.
Our rapidly expanding Fuel Pricing / Analytics team is looking for a…
"
Business Intelligence Information Analyst,Bolton NHS Foundation Trust,"£25,655 - £31,534 a year",Bolton BL4 0JR,"
To investigate and analyse highly complex data with multiple, sensitive outcomes.
To provide advice to individual project teams on collecting, reporting,…
"
Forecast Analyst,N Brown,"£24,000 a year",Manchester M60,"
The ideal candidate will be highly analytical, with excellent Excel skills and ideally come from a merchandising or data analyst background.
"
newOutcomes Analyst,Touch Medical Media Services,"£25,000 a year",Manchester•Remote,"
Liaise with external partners who provide the raw data for analysis.
Carry out the data analysis for Moore’s levels 3 and 4 outcomes in a timely and efficient…
"
newBI & Reporting Analyst,Citation,"Up to £45,000 a year",Manchester•Remote,"
Digging into the data in creative ways, using your abilities to drive actionable insight.
Using the latest tools you’ll help to drive best practice reporting…
"
Quality Assurance Analyst,First Central,"£33,000 a year",Manchester,"
Produce data and metrics, to provide visibility to track and evidence savings on a monthly basis.
Providing assurance so all policies and procedures are being…
"
Data Analyst - Myprotein,THG,,Manchester,"
You will be responsible for driving actionable business insights through data whilst managing data driven projects across the trading & marketing teams.
"
GIS Data Analyst,Kalibrate,,Manchester,"
Statistical Analysis Skills such as Analyse/interpreting data and presenting results using established methods, evaluating of coverage and accuracy of data,…
"
newData Analyst,musicMagpie,"From £25,000 a year",Stockport SK1 3SW•Temporarily Remote,"
Work with behavioural researchers using tools such as Contentsquare and help to link musicMagpie’s various research tools together to improve the quality of…
"
Junior Excel Data Analyst (Outside IR35),IT Talent Solutions Ltd,£120 a day,Manchester•Temporarily Remote,"
*Part remote/Part onsite (2 days onsite in Warrington 3 days remote)*.
Our leading client are recruiting for a junior or mid-level Excel Developer or Excel Data…
"
Data & Analytics - Internship,NatWest Group,"£21,500 a year",Manchester,"
And data science allows us to apply statistics, computer science and problem solving skills together with strong research methods to test, learn and optimise…
"
newJunior Information Analyst,Calderdale and Huddersfield NHS Foundation Trust,"£18,005 - £19,337 a year",Elland HX5 9JP,"
Produce performance reports and dashboards using computer programme’s such as Microsoft Excel and attending meetings and feedback key messages from the data.
"
Business Analyst – Data Transformation,Barclays,,Knutsford WA16 9EU,"
Optimising and creating efficiencies in the processing of data today to ensure consistent consumption by business stakeholders and improved data quality.
"
Information Analyst,MAG,,Manchester Airport,"
Thorough understanding of data security, Protection etc.
Understanding of how the business commercialises data & technology.
"
newBusiness Analyst,BBC,,Salford M50,"
You will have a key role in gathering and analysing the data that helps our team to improve the performance of our products.
"
Risk Analyst,Car Finance 247,"£30,000 - £40,000 a year",Manchester M12 6JH,"
Our Risk Analyst will be responsible for coordinating the first line risk and control activity to ensure that senior management can evidence a robust and…
"
Demand & Data Analyst - Mobile Telecoms,Clarke Telecom Limited,"£25,000 - £30,000 a year",Manchester,"
Detail oriented and high level of understanding data accuracy and data integrity.
Support PMO team on data integrity and reporting.
"
