,title,company,salary,location,summary
1490,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1491,Safety Manager – Data Scientist/Toxicologist,Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1492,Researcher in Data Science,University of Derby,"£25,627 - £39,739 a year",Derby,"
A typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…
"
1493,Safety Manager – Data Scientist/Toxicologist,No.7 Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1494,Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Considerable hands-on experience in data, advanced analytics, and AI (cloud platforms, data engineering, data management, visualization).
"
1495,Senior Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Experience with data manipulation and modelling - experience building models in Python would be advantageous but an understanding of modelling concepts is…
"
1496,Machine Learning Engineer,GMV,,Nottingham•Remote,"
Working in an agile, cross-functional team composed of both engineers and data scientists, taking responsibility for delivering predictive data products.
"
1497,Machine Learning and Artificial Intelligence Engineer,Nigel Frank International Limited,"£55,000 - £65,000 a year",Nottingham•Remote,"
Creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.
"
1498,Senior Analyst - Digital Analytics,Dunelm,,Syston,"
Ensure data collection is accurate and validated.
Strong knowledge of tag management systems such as Google Tag Manager or Tealium iQ and data layers.
"
1499,Data Scientist - Personalisation,Boots,,Nottingham,"
Experience with data visualisation tools such as PowerBI.
Experience of analysing data sets through SQL or similar tools.
"
1500,newData Scientist,Lumilinks,"£30,000 - £40,000 a year",United Kingdom•Remote,"
This job would suit a junior level data analyst/scientist with 2+ years SQL and/or visualisation experience.
You must have a keen interest in data understanding…
"
1501,newPeople Analytics Partner,Rolls-Royce,,Derby,"
Experience of delivering data and analytical solutions to a business.
Interface with the People Analytics extended team (Krakow technical and data science team,…
"
1502,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol Corporation,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1503,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1504,Safety Manager – Data Scientist/Toxicologist,Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1505,Researcher in Data Science,University of Derby,"£25,627 - £39,739 a year",Derby,"
A typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…
"
1506,Safety Manager – Data Scientist/Toxicologist,No.7 Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1507,Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Considerable hands-on experience in data, advanced analytics, and AI (cloud platforms, data engineering, data management, visualization).
"
1508,Senior Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Experience with data manipulation and modelling - experience building models in Python would be advantageous but an understanding of modelling concepts is…
"
1509,Machine Learning Engineer,GMV,,Nottingham•Remote,"
Working in an agile, cross-functional team composed of both engineers and data scientists, taking responsibility for delivering predictive data products.
"
1510,Machine Learning and Artificial Intelligence Engineer,Nigel Frank International Limited,"£55,000 - £65,000 a year",Nottingham•Remote,"
Creating and utilising algorithms and models to mine big data stores, improve models, and clean data for uniformity and accuracy.
"
1511,Senior Analyst - Digital Analytics,Dunelm,,Syston,"
Ensure data collection is accurate and validated.
Strong knowledge of tag management systems such as Google Tag Manager or Tealium iQ and data layers.
"
1512,newData Scientist,Lumilinks,"£30,000 - £40,000 a year",United Kingdom•Remote,"
This job would suit a junior level data analyst/scientist with 2+ years SQL and/or visualisation experience.
You must have a keen interest in data understanding…
"
1513,Data Scientist - Personalisation,Boots,,Nottingham,"
Experience with data visualisation tools such as PowerBI.
Experience of analysing data sets through SQL or similar tools.
"
1514,newPeople Analytics Partner,Rolls-Royce,,Derby,"
Experience of delivering data and analytical solutions to a business.
Interface with the People Analytics extended team (Krakow technical and data science team,…
"
1515,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol Corporation,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1516,Data Scientist / Statistician Intern (BS/MS/PhD Students),Lubrizol,,Hazelwood DE56 4AN,"
Coursework in statistical modeling and data mining methods.
Collaborate with data science team, as well as, scientists and engineers, to understand their needs,…
"
1517,Safety Manager – Data Scientist/Toxicologist,Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1518,Researcher in Data Science,University of Derby,"£25,627 - £39,739 a year",Derby,"
A typical project would involve initial discussions and setting out of a quick data audit and trajectory to identify the data insight demands, but also the data…
"
1519,Safety Manager – Data Scientist/Toxicologist,No.7 Boots,,Nottingham,"
Assess the effectiveness of data sources and data-gathering techniques and improve data collection methods to drive continuous improvement of the products and…
"
1520,Analytics Consultant,Experian,,Nottingham NG2 1EP,"
Considerable hands-on experience in data, advanced analytics, and AI (cloud platforms, data engineering, data management, visualization).
"
