title,company,salary,location,summary
Intern - Data Analyst,Pearson,,Rotherham,"
Support in the role, in job training and professional development will be provided to enable you to contribute to the business.
"
newApprentice Public Health Intelligence Analyst,Rotherham Metropolitan Borough Council,"£18,933 a year",Rotherham,"
Contract Type: 2 year Fixed Term.
In this role you will be part of a dynamic team responsible for delivering an effective Public Health Intelligence service,…
"
Data and Reporting Analyst,IQVIA,,Chesterfield,"
Select and implement appropriate charting techniques and report formats for the data being reported.
We are looking for an innovative and creative individual…
"
newBusiness Intelligence Analyst,Primary Care Sheffield,"£38,254 a year",Sheffield S9 4EU,"
Undertake data analysis, data modelling and data perdictives based upon identified business needs.
Develop and maintain complex data extraction and reporting…
"
newData Analyst,DFS,,Alfreton,"
The role is to analyse current frame designs to create part numbers in order to generate bill of materials for each model.
"
Data Analyst,Frasers Group,,Shirebrook NG20,"
Comfortable learning new systems to extract and exploit data.
Create innovative and engaging dashboards using PowerBI to enable data visulisation for the…
"
newData and Performance Analyst Regional Adoption Agency,Doncaster City Council,,South Yorkshire,"
OneAdoptionSouthYorkshire is looking for someone who can take on the role of a data and performance analyst for the Regional Adoption Agency.
"
newMarketing Data Analyst ( Power BI ),AVK UK Ltd,,Chesterfield S43 3FH,"
Design and present data via Microsoft Power BI – Business data analytics.
You will take ownership of the Microsoft Power BI – Business data analytics platform,…
"
SQL Data Support Analyst,Bartec Municipal Technologies,"£23,000 - £26,000 a year",Barnsley S75 1JN•Temporarily Remote,"
Collating and managing data requirements specifications.
Creating suitable import packages using T-SQL to process data received.
Temporarily due to COVID-19.
"
newPrincipal Information Analyst,Barnsley Hospital NHS Foundation Trust,"£40,057 - £45,839 a year",Barnsley,"
This is an outstanding opportunity for an experienced analyst where you will be expected to develop and lead on the automation of reports and coach/train staff.
"
Reliability Data Analyst (PCMS),British Engineering Services,,Rotherham S63,"
Perform vibration / oil / thermal data analysis of equipment performance, failure data, and corrective maintenance history to develop and deploy engineering…
"
newData Analyst,Carlton Academy,"£21,946 - £24,224 a year",Nottinghamshire,"
You will ensure that an efficient and professional data service is provided to the senior team and all teaching staff compiling complex spreadsheets, complex…
"
